Study,Type,Length,Population,Efficacy,Realism,Species
Miller et al (2004),GnRH,0.58,6,100,Penned,Bison
Miller et al (2000),GnRH,4,11,88,Penned,White-tailed Deer
Evans et al (2015),GnRH,1,11.1,37,Free-Living (Closed),White-tailed Deer
Levy et al (2013),GnRH,5,12,84,Penned,Cats
Levy et al (2003),GnRH,0.5,12.1,84,Penned,Male Cats
Massei et al (2012),GnRH,6,12.2,91.6,Penned,Wild Boar
DEFRA (2011),GnRH,3,14,71,Free-Living (Open),Badgers
Leuders et al (2017),GnRH,11,17,100,,Elephant Bulls
Levy et al (2011),GnRH,5,20,100,Penned,Cats
Vargas-Pino et al (2013),GnRH,0.17,20.1,69,Penned,Female Dogs
Bechert et al (2013),PZP,0.58,21,93,Free-Living (Closed),Mares
Miller et al (2006),PZP,11,21.1,50,Penned,Coyotes
Delsink et al (2006),PZP,5,23,43,Free-Living (Open),Elephants
Massei et al (2015),GnRH,1,34,66.6,Penned,Feral Cattle
Rutberg et al (2004),PZP,7,40,36,Free-Living (Closed),White-tailed Deer
Fraker et al (2002),PZP,3,41,100,Free-Living (Island),Feral Fallow Deer
Gionfriddo et al (2004),GnRH,2,44,88,Free-Living (Closed),White-tailed Deer
Locke et al (2007),PZP,4,45,92,Free-Living (Closed),White-tailed Deer
Gionfriddo et al (2011),GnRH,2,47,67,Free-Living (Closed),White-tailed Deer
Killian et al (2008),PZP,4,51,100,Penned,Mares
Killian et al (2008),GnRH,4,51.1,94,Penned,Mares
Roelle et al (2017),PZP,3,60,83.3,Free-Living (Open),Feral Horses
Kirkpatrick et al (2008),PZP,13,64,96.28,Free-Living (Open),Horses
Duncan et al (2017),PZP,7,64.1,89.6,Free-Living (Island),American Bison
Botha et al (2008),GnRH,0.19,65,100,Free-Living (Closed),Mares
Gray et al (2010),PZP,3,84,63,Free-Living (Open),Feral Horses
Gray et al (2010),GnRH,3,84.1,61,Free-Living (Open),Feral Horses
Krause et al (2014),GnRH,1.42,116,100,Free-Living (Open),Fox Squirrels
Powers et al (2014),GnRH,3,120,95,Free-Living (Open),Mountain Elk
Brown et al (1997),PZP,5,130,38.8,Free-Living (Open),Grey Seals
Nash et al (2004),GnRH,2,229,90,Free-Living (Open),Ground Squirrels
Naugle et al (2002),PZP,7,353,68.4,Free-Living (Island),White-tailed Deer
